city,total_people
Snyder,"8,009"
Socorro,"16,580"
Somerset,"2,638"
Somerville,"3,633"
Sonora,"2,404"
Sour Lake,"3,390"
South Bend,52
South Houston,"6,814"
South Padre Island,"2,133"
South Plains,16
Southlake,"22,069"
Southland,61
Southmayd,142
Spade,50
Spearman,"2,064"
Spicewood,"7,106"
Splendora,"6,680"
Spofford,60
Spring,"180,118"
Spring Branch,"13,247"
Springlake,158
Springtown,"12,614"
Spur,902
Spurger,"1,032"
Stafford,"13,317"
Stagecoach,389
Stairtown,1
Stamford,"2,004"
Stanton,"2,715"
Staples,38
Star,56
Stephenville,"15,572"
Sterling City,873
Stinnett,"1,614"
Stockdale,"2,916"
Stonewall,486
Stowell,678
Stratford,"1,165"
Strawn,630
Streetman,"1,446"
Sudan,818
Sugar Land,"99,668"
Sullivan City,"2,526"
Sulphur Bluff,266
Sulphur Springs,"15,859"
Summerfield,19
Sumner,"1,507"
Sundown,892
Sunnyvale,"4,914"
Sunray,"1,075"
Sunrise Beach,677
Sunset,"1,593"
Sunset Valley,405
Surfside Beach,1
Sutherland Springs,455
Sutherlnd Spg,1
Sweeny,"4,983"
Sweet Home,91
Sweetwater,"7,101"
Sylvester,123
Taft,"3,796"
Tahoka,"2,708"
Talco,899
Talpa,204
Tarpley,250
Tarzan,99
Tatum,"2,693"
Taylor,"10,831"
Taylor Landing,183
Tbd,20
Teague,"3,225"
Tehuacana,211
Telegraph,12
Telephone,733
Telferner,326
Tell,38
Temple,"47,365"
Tenaha,"1,772"
Tenn Colony,"1,110"
Tennessee Colony,2
Tennyson,50
Terlingua,644
Terrell,"18,366"
Terrell Hills,1
Texarkana,"34,559"
Texas City,"28,062"
Texhoma,190
Texline,318
The Colony,"26,174"
The Hills,"2,179"
The Woodlands,"58,455"
Thicket,355
Thomaston,12
Thompsons,92
Thorndale,"2,093"
Thornton,"1,112"
Thrall,"1,094"
Three Rivers,"2,068"
Throckmorton,778
Tiki Island,962
Tilden,542
Timpson,"2,324"
Tioga,"1,157"
Tivoli,434
Tokio,38
Tolar,"2,103"
Tom Bean,741
Tomball,"56,037"
Tool,"2,212"
Tornillo,"1,450"
Tow,677
Toyah,96
Toyahvale,8
Trent,427
Trenton,"1,649"
Trinidad,"1,599"
Trinity,"7,057"
Trophy Club,"9,337"
Troup,"5,203"
Troy,"2,861"
Truscott,32
Tuleta,330
Tulia,"2,816"
Turkey,300
Turnertown,6
Tuscola,"3,471"
Tye,646
Tyler,"88,591"
Tynan,208
Uhland,442
Umbarger,82
Universal City,"12,578"
Utopia,919
Uvalde,"13,294"
Valentine,106
Valera,106
Valle De Oro,182
Valley Mills,"2,663"
Valley Spring,154
Valley View,"3,493"
Van,"2,837"
Van Alstyne,"5,613"
Van Horn,"1,507"
Van Vleck,"1,489"
Vance,2
Vancourt,62
Vanderbilt,263
Vanderpool,148
Vega,775
Venus,"4,667"
Vera,20
Verhalen,18
Veribest,1
Vernon,"7,726"
Victoria,"49,361"
Vidor,"15,805"
Villa Nueva,5
Village Mills,"1,002"
Vinton,982
Voca,123
Volente,488
Von Ormy,"4,485"
Voss,106
Votaw,212
Waco,"71,179"
Wadsworth,204
Waelder,"1,241"
Waka,47
Wake Village,"3,753"
Wall,303
Waller,"7,310"
Wallis,"2,336"
Wallisville,663
Walnut Springs,728
Warda,11
Waring,141
Warren,"2,064"
Washington,"1,385"
Waskom,"3,597"
Watauga,"13,026"
Water Valley,189
Waxahachie,"35,076"
Wayside,48
Weatherford,"46,859"
Webberville,339
Webster,"11,399"
Weesatche,53
Weimar,"3,098"
Weinert,135
Weir,178
Welch,162
Wellborn,6
Wellington,"1,641"
Wellman,141
Wells,547
Weslaco,"30,958"
West,"4,129"
West Columbia,"4,637"
West Lake Hills,"2,910"
West Orange,"1,873"
West Point,655
West Tawakoni,"1,293"
Westbrook,251
Westhoff,241
Westlake,"1,077"
Weston,29
Weston Lakes,479
Westworth Village,"1,491"
Wharton,"8,393"
Wheeler,"1,163"
Wheelock,16
White Deer,820
White Oak,"4,037"
White Settlement,"1,539"
Whiteface,354
Whitehouse,"8,571"
Whitesboro,"6,160"
Whitewright,"3,313"
Whitharral,94
Whitney,"7,249"
Whitsett,107
Whitt,88
Wichita Falls,"64,847"
Wickett,263
Wiergate,502
Wildorado,234
Wildwood,59
Willis,"19,280"
Willow City,139
Willow Park,"3,424"
Wills Point,"9,607"
Wilmer,"1,956"
Wilson,331
Wimberley,"10,198"
Winchester,7
Windcrest,"4,376"
Windom,425
Windthorst,894
Winfield,218
Wingate,180
Wink,713
Winnie,"3,782"
Winnsboro,"6,795"
Winona,"2,244"
Winters,"2,026"
Wixon Valley,10
Wolfe City,"2,097"
Wolfforth,"4,799"
Woodcreek,954
Woodlake,62
Woodlawn,4
Woodsboro,"1,635"
Woodson,294
Woodville,"6,069"
Woodway,"7,048"
Wortham,"1,127"
Wrightsboro,41
Wylie,"33,196"
Yancey,342
Yantis,"2,648"
Yoakum,"5,241"
Yorktown,"2,587"
Ysleta Del Sur Pueblo,609
Zapata,"6,564"
Zavalla,"1,856"
Zephyr,646
Unknown,"10,149"
Total People,"15,435,375"
